	symbols	parent
Real Estate - Operations	PIOE,AOXY,ARL,AQQSQ,BRST,BRRE,BOMN,BRMSY,BRER,BAM,COWP,CPTP,CLLDY,CBRE,CDEVY,CKX,CIGI,CTO,CYWDF,CWK,DIFTY,DWHHF,EACO,EMITF,EPRT,EXPI,DUO,FSV,FRPH,GNGT,GEAHF,GRIF,GYRO,HNLGY,HLPPY,HLDCY,HIHI,GENH,IOR,IEA,ITUP,IRCP,MAYS,JLL,BEKE,KW,LMRK,LEGIF,LEGH,LEJU,BATRB,BATRA,BATRK,LSLPF,MLP,MDJH,MJNE,NEN,NMRK,NXCLF,PMT,DNK,PRPPF,RLGY,RDFN,RMAX,RVI,SFEF,SHABF,SIHBY,SNLAY,STRS,SUHJY,TAYO,TRC,TPL,RMR,TRTX,TPHS,UTGPF,VONOY	Finance
Real Estate - Development	TACI,AGPYY,BTDPY,BKGFY,BPY,HGSH,CTRYY,CYRBY,FPH,FOR,GZTGF,GPEAF,GRBK,GRWC,HCDI,HDVTY,HNGKY,HHC,IRS,LSGOF,LGIH,MMI,MITEY,NTP,NDVLY,OBAS,PDGRY,PICO,PACQF,RNHEF,RNTL,SOHOF,JOE,STBV,INTG,TCI,XIN	Finance
REIT and Equity Trust - Retail	AKR,ADC,AAT,BRX,BPYU,CBL,EPR,EQIX,FRT,HGPI,KIM,KRG,KLPEF,MAC,NNN,NYC,PEI,REG,ROIC,RPAI,BFS,SPG,SITC,CWYUF,STOR,SKT,TCO,UE,UBA,UBP,WPG,WRI,WHLR	Finance
REIT and Equity Trust - Residential	AIII,ACC,AMH,AIV,AHH,AVB,BRG,BOWFF,BNL,BRT,CPT,ELS,EQR,ESS,RESI,IRT,IIPZF,INVH,MRTI,MAA,SNR,NXRT,OPI,GADS,APTS,RPT,SRC,SUI,UMH,UDFI,UDR	Finance
REIT and Equity Trust - Other	RHE,ALEX,ALX,ARE,PINE,AFIN,AMT,COLD,APLE,ABR,AHT,BXP,BHR,BDN,BTLCY,CTRE,CDR,CLDT,CIO,CLPR,CLNY,CXP,CHCT,CDOR,CORR,CPLG,COR,OFC,CXW,CUZ,CCI,CUBE,CONE,DWVYF,DRH,DLR,DEI,DRE,DEA,EGP,ESRT,EQC,EXR,FPI,FR,FCPT,FSP,GLPI,GECFF,GEO,GTY,LAND,GOOD,GMRE,GNL,SELF,GRP.U,HMSNF,HR,HTA,PEAK,HT,STLY,HHDS,HIW,HMG,SVC,HST,HPP,ILPT,IIPR,IRET,IRM,JBGS,KREVF,KRC,LAMR,LXP,LSI,LTC,CLI,MDRR,MPW,MGP,MNR,NHI,NSA,NTST,OHI,OLP,OUT,PCFO,PRLE,PGRE,PK,PEB,DOC,PDM,PLYM,PSTL,PW,PDNLB,PLD,PSB,PSA,QTS,RASFQ,REXR,RLJ,RHP,SBRA,SFSHF,SBAC,SEGXF,DHC,SRG,SLG,SOHO,STAG,INN,SHO,SURVF,TRNO,UNIT,UHT,VTR,VER,VICI,VNO,WRE,WELL,WSR,WPC,XHR	Finance
REIT and Equity Trust	MITT,AGNC,ASPS,NLY,ANH,ARI,ACRE,AAIC,ARR,BMNM,BXMT,BRMK,CMO,CHMI,CIM,CMCT,CLNC,CVHL,DVLN,DX,ELCI,ECRO,EARN,XAN,GPMT,AJX,HASI,HCFT,IMH,IVR,STAR,JERT,JCAP,KREF,LADR,MFA,NRZ,NYMT,NREF,RC,RWT,SAFE,STWD,TWO,VRTA,VRTB,WMC	Finance
Publishing - Periodicals	JOBS,AXR,MDP,MAHI,PEDH	Consumer Staples
Publishing - Newspapers	AHC,ACNI,DJCO,LEE,MNIQQ,NYT	Consumer Staples
Publishing - Books	EDUC,PDYPY,JW.A,JW.B,SADL,SCHL,SQNXF,WTKWY	Consumer Staples
Precious Metals and Jewels	AMRK,ATYM,CTHR,JADA,SPGZ	Consumer Discretionary
