	symbols	parent
Food - Miscellaneous	AJINY,ARMK,AMNF,ASBFY,BABB,BGS,APRN,BRFS,BRID,BUROF,CPB,CELH,CHLE,CDSG,UTZ,CAG,CUSI,DANOY,DAR,FLO,FRPT,DROP,GIS,WNGRF,GLGLF,GNCGY,GNLN,HFFG,HBIS,INGR,JJSF,JBSS,KRYAY,LSF,LW,LANC,LNDC,MMMB,MHGVY,MKC,MED,MGPI,MDLZ,NSRGY,NOMD,NXTH,POST,PRRFY,RELV,SMGBY,SEB,SENEA,STKL,SYY,TATYY,PETZ,CHEF,HAIN,SJM,KHC,TCYMF,TOFB,THS,UMAM,UNMG,UNFI,USFD,VITL,WWNTY,FBER	Consumer Staples
Food - Meat Products	BIQIF,BYND,CMFO,PLIN,HRL,IBA,JBSAY,PPC,SAFM,TSN,YUII	Consumer Staples
Food - Dairy Products	CIADY,DFIHY,DFODQ,GLAPY,LWAY,NUVM	Consumer Staples
Food - Confectionery	CRMBQ,HSY,TWNK,SMPL,TR	Consumer Staples
Financial Transaction Services	PAYS,AGTK,ADS,CATM,DBD,ENV,EFX,EVTC,EVOP,FIS,FISV,FLT,GPN,GDOT,INGIY,IMXI,LFIN,LOIMF,MA,REFG,PAGS,PXGYF,PYPTF,QIWI,FOUR,WU,RPAY,USIO,WEX,WWLNF,MFH	Business Services
Financial - Savings and Loan	AMFC,ASBN,BFIN,BANR,BHLB,BHBCQ,BHWB,BRBI,BYFC,BRKL,CYBA,CFFN,CARV,CZWI,CFG,CIBN,DCOM,DSFN,ESBK,ESSA,FFDF,FFWC,FDLB,FBPI,FBSI,FCAP,FNFI,FSFG,FBC,FFIC,GOVB,GTPS,GSBC,GCBC,GFED,HFWA,HFBA,HCBC,HMNF,HFBL,HWEN,HLFN,HMST,ISBC,KSBI,KRNY,KFFB,LSBK,LARK,LSFG,LOGN,MELR,EBSB,CASH,NASB,NYCB,NBN,NIDB,NFBK,NWBI,OCFC,OFED,PPBI,PBHC,PBCT,PPSF,PROV,PFS,PBIP,RPFG,RVSB,SCYT,SLCT,SFBS,SFBK,SHZUY,SCSG,SRNN,SMBC,SZBI,STBI,SUGBY,TFSL,TSBK,UNTN,WSBF,WAYN,WTBA,WSFS,WVFC	Finance
Financial - SBIC & Commercial Industry	RDGL,AMTCQ,AINV,ARCC,BCSF,BISA,BBDC,TCPC,BKCC,CPTA,ICMB,CCAP,FDUS,FSK,FSKR,GARS,GLAD,GAIN,GSBD,GBDC,HTGC,HRZN,IDEA,MAIN,MRLN,MFIN,MVC,NMFC,NEWT,OCSI,OFS,OXSQ,PNNT,PRPM,RAND,SFE,SAR,SLRC,SUNS,SCM,FCRD,TPVG,WHF	Finance
Financial - Mortgage & Related Services	ASFJ,CNF,DJSP,EFC,ESNT,FNMA,FCIC,AGM,FMCC,JGWEQ,TREE,MMAC,NOVC,OCN,ORC,PFSI,TSLX,VEL,WD	Finance
Financial - Miscellaneous Services	EQOS,JFU,CNFN,AGMH,ALRS,ALMC,AXP,ARWGF,ATLC,YUANF,AX,BIPC,CBWTF,CSFSF,HUSN,RAHGF,CTVZ,CBGH,COFS,CIOXY,CIT,CLHI,CLBK,CPSS,CTTPY,DSEEY,EMGCQ,EQH,ESPIQ,EEFT,FNHC,FPAY,FTAI,FRHC,GMNI,GAHC,GL,GRNQ,GBOOY,HBTC,HGBL,HX,HLI,GLAE,COHN,IFS,SNEX,ISBL,JEF,LC,LMFA,MARA,MNTR,MMTRS,MGI,MYSRF,MCO,MVBF,OCSL,OCFN,OPRT,IX,ORCC,NBCO,PJT,FINV,PRAA,LGHL,PGUS,QCCO,RCM,RIVE,RPRX,SACH,SNRY,SRCO,SSPC,SPDL,SLFPY,STEP,BANX,SHGKY,SWKH,SYF,CGBD,CCNC,TRMT,UCASU,VIRT,WELX,WINS,XYF,XP	Finance
Financial - Leasing Companies	AER,ACY,MGRC,UCPC	Finance
Financial - Investment Management	AMG,AB,AAMC,ABCP,ATAX,AMP,HKIB,APO,ARES,APAM,AINC,AJMPF,AMK,AC,BLK,BX,BNDT,BSIG,CSWC,CNS,CNVT,EV,FFXDF,FHI,CNNE,FSAM,FOCS,BEN,GBL,GECC,GEC,JAGR,AVAL,HLNE,HRGLY,HCAP,HNNA,HPIL,IVZ,JHG,JP,PTMN,KKR,LAZ,MCIM,MN,MCC,MDLY,MRCC,NOAH,SCU,OCCI,ONEXF,PACV,PFLT,PFG,PSEC,PHCF,PUYI,PZN,SHNWF,ATCO,SEIC,SAMG,SII,TROW,GROW,VALU,VPGI,VCTR,VRTS,WDR,WHG,WNMLA,WQNI,IWSH	Finance
Financial - Investment Funds	ALLWF,BXLC,BKFG,CODI,INTV,KNVKF,LFSYY,MILC,OXLC,PSHZF,SE,SSSS,CG,WSCC	Finance
Financial - Investment Bank	BGCP,CCHI,CPFH,COWN,DHIL,EBML,EVR,EZTD,FMFN,FXTGY,GLBR,GCPL,GHL,IBKR,JMP,LPLA,MERR,MC,MS,NHLD,WDBG,NMR,OPY,PIPR,RJF,SBHGF,SIEB,SF,TKAT,SCHW,GS,TW,TIGR,VIFI,WTECQ,WETF,WSFL,YIN,ZGCO	Finance
Financial - Consumer Loans	ALLY,COF,CHFI,DXF,CACC,CURO,DFS,ELVT,ECPG,ENVA,EZPW,FCFS,LX,LOAN,COOP,NAVI,LPRO,NNI,NICK,CAFI,OMF,FPLPY,QD,RM,SC,CTON,SLM,SBKK,WEI,WRLD	Finance
Film and Television Production and Distribution	AFOM,EMPM,ESGC,IMBI,GNPR,HKTVY,IMAX,IQ,KLOC,YVR,LGF.A,LGF.B,GETVY,MSGN,NLMP,NWSA,NWS,PAEGF,PTSXQ,SAPX,HLWD,SMCE,CURI,VIAC,VIACA,WMG,WWE	Consumer Discretionary
Fiber Optics	CIEN,FBCE,OCC	Computer and Technology
Fertilizers	BNET,CF,CHBU,CBLUY,CDBT,CGA,UAN,IPI,NTR,PHOS,SQM,MOS,SMG,YARIY	Basic Materials
Engineering - R and D Services	ACM,ALFVY,ALTR,CHX,ARCAY,BCKIY,ATCX,CHYCY,ENG,FRRVY,FLR,GTES,GLT,TURN,HWM,IMIAY,PECK,KGHI,KBR,MEC,MLLUY,PRXG,PWR,RTOXY,SNIRF,SPXSF,TSSI,VSEC,WEGRY,WLDN	Industrial Products
Energy and Pipeline - Master Limited Partnerships	BSM,CELP,HESM	Oils and Energy
Electronics - Testing Equipment	AME,CGNX,AHIX,FTV,ITRI,NATI,TER	Computer and Technology
Electronics - Semiconductors	ACMR,AMD,ASX,AOSL,AMBA,AMKR,AAOI,ATOM,AXTI,AVGO,CEVA,CRUS,CODA,DLGNF,DIOD,DION,EMAN,FORM,HIMX,ICHR,PI,IFNNY,IQEPF,LSCC,MTNX,MTLK,MOSY,NMGC,LASR,NVEC,OIIM,OTIVF,PTSC,PXLW,POETF,QUIK,RMBS,ROHCY,RBCN,SCIA,SMICY,LEDS,SQNS,SIMO,SGH,SLOIF,SPIR,SYNA,TSEM,TGAN,TXCCQ,UMC	Computer and Technology
Electronics - Power Generation	APTL,BW,CBAT,GNRC,MCELQ,SSEZY	Computer and Technology
Electronics - Parts Distribution	ARW,AVT,BLLI,NWXJ,RELL,WCC	Computer and Technology
Electronics - Miscellaneous Services	BLNK,IESC,JKHY,LGRVF,SYPR	Computer and Technology
Electronics - Miscellaneous Products	ACFN,AEY,AGNUQ,AMSSY,BELFB,BELFA,BKYI,BNSO,BSTK,BRTHY,CCMP,CARR,CSIOY,CSGH,CEXE,CUB,DKILY,DAKT,KODK,FLEX,FLUX,FGELF,GRMN,GTEC,OLVI,HOCPY,JASNQ,KTCC,KE,KLAC,PHG,KOPN,LTSC,LBAS,LTEC,MG,MIELF,ORYX,OSAGF,PLPC,STKR,RMTD,REFR,SGMA,SITM,SMCAY,SEPJY,SQFL,SGU,CRTG,TNLX,TRMB,TKLS,UEIC,VAPE,VSYS,VOXX,XNNHQ	Computer and Technology
Electronics - Miscellaneous Components	AACAY,ABCE,ADTC,AHAG,AMSC,AUOTY,AVX,AXPWQ,BLDP,BDR,BWXT,CAMP,CETX,CPSH,CTS,DLYT,DAIO,DSWL,DGNG,ELAMF,ELRNF,ELTK,EVRC,FN,GTXO,IEC,INFG,ITKG,IIN,KYOCY,LPTH,LFUS,MFCO,MNBEY,NJDCY,NSYS,NOVT,NVT,OMRNY,ORBT,OSIS,RSKIA,ROG,SGOC,SIMC,SMTX,SRSK,SRI,SPRS,TTDKY,TEL,TNRK,TTGPF,TTMI,ULBI,UNXLQ,OLED,UPGI,VIAO,VICR,VIDE,VPG,WIRX,YASKY,ZAGG	Computer and Technology
Electronics - Military	DEWY,ESP,FLIR,MKRS,NEIK,VTSI	Aerospace
Electronics - Measuring Instruments	ATEYY,AEHR,CAMT,FIT,GEOS,GIGA,INTT,KEYS,NVMI,ORFR,PRCP,RLBY,TRT	Computer and Technology
Electronics - Manufacturing Services	BHE,CLS,JBL,JACO,PLXS,SANM	Computer and Technology
Electronics - Manufacturing Machinery	AMTA,ACLS,BESIY,BRKS,COHU,EMKR,ENTG,IVAC,KLIC,MKSI,NINOY,STRB,UCTT,VECO	Computer and Technology
Electronics - Connectors	APH,ESNC,IEHC,MEI	Computer and Technology
Electric Construction	ADOM,MYRG,SENY	Utilities
Diversified Operations	MMM,AMIN,BRRAY,BZLFY,CSL,AEHL,CMHHY,CRHKY,CTPCY,CKHUY,CR,DHR,FSS,FPAFY,GE,GFF,GPOVY,HCHC,HTHIY,HON,IEP,ITT,JMHLY,JSHLY,KKPNF,KSHB,LXU,LDL,MIC,MARUY,MSBHY,NPK,NOBGY,ORKLY,PHIL,RAVN,SVT,SGHIY,SPLP,SSUMY	Multi-Sector Conglomerates
Diversified Communication Services	ASGXF,AXTLF,BCOMF,BCE,CHT,CBB,CVST,DTEGY,HLTOY,IDT,IMTO,JUMT,KKPNY,LICT,MXMTY,WOWI,NTTYY,OIBRQ,OIBRC,PVSP,TLK,SHEN,SGAPY,SCMWY,TKTCY,TIIAY,TEF,VIV,TKAGY,TELNY,TLKGY,TLSYY,TU,TVCE,VEON,VPER,VIVHY	Utilities
Cosmetics	AIGI,CAWW,COTY,DSKX,ELF,EXHI,HHER,HELE,EROX,IPAR,LPHM,LRLCY,MDOMF,NTCO,NUS,NUGN,PORBF,PWCO,NUUU,REV,SSDOY,SYIEY,EL,SPCO,TWSI	Consumer Staples
Containers - Paper and Packaging	AMCR,ATR,BERY,BXBLY,GPK,GEF.B,GEF,ITPOF,NDGPY,PKG,SEE,UECN,SON,UFPT	Industrial Products
Containers - Metal and Glass	BLL,CCK,SLGN	Industrial Products
Consumer Services - Miscellaneous	BJ,BPOSY,BV,COE,CMPR,AWAW,EEX,FRCN,HRB,KMWE,GNSS,MNRO,PTVE,RCII,SP,STON,PRSC,WFCF,WIZD	Consumer Discretionary
Consumer Products - Staples	ADRNY,ACI,CHWY,EPC,ENR,GLGI,GO,BTSDF,IFF,JRJRQ,KMB,FRG,LIOPF,MWK,NBEV,NWL,OLLI,PRPL,SWGAY,TTCF,TUP,VFF,WDFC,FREE	Consumer Staples
Consumer Products - Discretionary	GOED,ACU,AERO,BNED,BMRRY,BOXS,MTTRY,CENTA,CENT,CUYTY,TCS,LWLW,DUFRY,DGIX,FTDL,FTDCQ,FNKO,GNUS,GRSO,PHOT,HMPQ,HEGIY,STCB,KAYS,KIDBQ,KARE,LCUT,LUVU,NHTC,PRTY,PFGBQ,PGENY,PBH,RLBD,REYN,SCOO,SOUPQ,SPB,SUMR,SWMAY,TOBAF,REAL,UNICY,VDAHF	Consumer Discretionary
Consulting Services	ACN,ATIF,BVRDF,CRTN,CBZ,CRAI,CLGX,CTEK,EXPO,FC,FCN,IT,HIL,HURN,III,BTFL,NGBL,NVEE,MPGPF,PCOA,PBSV,STN,HCKT	Business Services
Computers - IT Services	ABILF,DOX,ASGN,BZUN,CDK,CDW,CRNC,GDYN,CLPS,CTG,CSGP,UPIN,DTSS,DELL,DXC,DT,DAVA,EPAM,FICO,FJTSY,STGGQ,GTT,INFY,INOV,MHH,MDLA,NEXCF,NTNX,PRSP,PING,RTNB,PRZM,MARK,RNLX,SAIC,TRCK,SCWX,NOW,ANY,STCN,TSYHY,UIS,VRT,WIX	Computer and Technology
Computer- Storage Devices	CBEX,DIGI,GSIT,NTAP,NLST,PSTG,QBAK,QMCO,QUMU,STX,SOSO,SMCI,TDC,WDC	Computer and Technology
Computer - Software	ACIW,ADBE,AIFS,AMSWA,ANSS,AZPN,ADSK,AVID,BMRK,BLKB,EPAY,BSQR,CDNS,CAN,CLTY,CICN,CTXS,CSYS,CDRBQ,CVLT,CSOD,CPAH,DASTY,DPSI,ELCO,EINF,ECGP,FLXI,GSB,GVP,GLFWD,IBIN,ICAD,IWSY,IMGI,IPUB,IAIC,ISTC,IBSS,INTU,KNMCY,MGIC,MANH,MSFT,MSTR,NEON,NTWK,NUAN,OTEX,OPRX,ORCL,PCYG,PEGA,PRGS,PRLO,PRO,PTC,QADB,RWWI,CRM,SAP,SPNS,SCIL,SSVC,SREV,SMRL,SLP,SMSI,SOFT,SSNC,STYLA,SNPS,DSGX,TMICY,TPPPF,UTRX,USDC,VCMP,VRNT,VMW,ZIMCF	Computer and Technology
Computer - Services	ALLN,BTSR,CACI,CASS,GIB,CBRI,CSVI,CSGS,DYNE,EBIX,ETEC,ENHT,FORTY,FORR,INOD,MANT,MICT,NEOM,NTPL,OBIIF,PDFS,PRFT,VCTL,SGMS,TSCC,TSRI,UMLS,VRTU,WYY	Computer and Technology
Computer - Peripheral Equipment	APELY,CREAF,DTRK,HAUP,INVE,IGOI,IMMR,LPL,LOGI,MCZAF,MDEA,MRCY,SCKT,SNMBQ,SSYS,TKOI,TACT,VJET,VUZI,ZTNO	Computer and Technology
Computer - Optical Imaging	MITK,VRTC	Computer and Technology
Computer - Networking	ALLT,ALVRQ,BOSC,CSCO,CNWT,DGII,ELST,EXTR,EZEN,FALC,FKWL,INFN,ISPD,INTZ,LTRX,NTGR,NTCT,PTEEF,RDCM,SILC	Computer and Technology
Computer - Mini computers	DDD,AAPL,HPQ,LNVGY	Computer and Technology
Computer - Mainframe	PSYS	Computer and Technology
Computer - Integrated Systems	ISOL,AGYS,COMX,CSPI,DLEXY,DCHIF,FARO,GTLL,HPE,ISNS,IBM,ITI,MTRO,NCR,PAR,USAT,ZI	Computer and Technology
Communication - Network Software	ATEN,ADVOF,AVYA,AVSR,CLWA,CLRN,CYBD,EVOL,FRTAF,FTNW,KLR,HYDN,ITKH,LTTC,NTFY,NUVR,BCDI,RBBN,VISL	Computer and Technology
Communication - Infrastructure	ADTN,BAND,CALX,COMM,DZSI,ICLD,SGSI,ATEX,ROSYY,SCON,VCST,WTT	Computer and Technology
Communication - Components	AAPJ,ACIA,AIRG,ATUS,ATGN,ANET,AUDC,CLRO,JCS,GLW,CTXV,DIRV,ETCIA,EXFO,HLIT,INVT,KN,KVHI,MTSL,NUTTQ,OOMA,ORSX,PLT,PSTO,SEAC,SPMYY,TCCO,TLCO,TESS,HEAR,UTSI,VIAV,VCRA,WGNR,WSTL,ZMTP,ZSTN	Computer and Technology
Commercial Printing	ARC,BEEN,CHMP,DNPLY,ISDR,KRNT,LMTI,LKSDQ,QUAD,RSSS	Industrial Products
Coal	ARLP,BRCOQ	Oils and Energy
Chemical - Specialty	ASIX,AGFS,AVD,AMRS,ASH,AXTA,BCPC,CE,COIHY,CSWI,DQ,ECL,ESI,ELMTY,FOE,GSM,FSI,GVDNY,GPRE,FUL,HWKN,HERC,HUIHY,NGVT,IEVM,ISON,ICL,KRA,LTHM,MACE,MXCHY,MTX,MCRUF,NEU,NNCHY,NL,NVZMY,PQG,KWR,SXT,VVV,VNTR,WEDXF,WLKP,GRA	Basic Materials
Chemical - Plastic	ATPL,CERPQ,CXDC,COVTY,EQUI,JSCPY,KURRY,LWLG,RYAM,TG,TSE,VTXPF,WLK	Basic Materials
Chemical - Diversified	AIQUY,APD,AKZOY,ALB,ARKAY,AHKSY,BASFY,BNTGY,CBT,CHGI,CHCC,CMP,DOW,DD,EMN,FMC,GLTC,GNMP,GURE,HCHMY,HUN,IEAM,IOSP,JMPLY,KWBT,RDSMY,KOP,KRO,LAC,LYB,MBII,MEOH,MTLHY,NOEC,NTIC,ODC,OLN,OEC,AVNT,PPG,SHECY,SHWDY,SHI,SCL,SOMMY,TANH,CC,TKYMY,TORM,TOSCF,TREC,TROX,UBEOY,UNVR,VHI	Basic Materials
Cable Television	CABO,CASA,CHTR,CMCSA,DISH,HMTV,ICABY,LBRDA,LBRDK,LBTYA,LBTYB,NPSNY,PBSFY,RCI,SJR,TVFCF,MVEN,WOW	Consumer Discretionary
Business - Software Services	CCTR,CIH,CTSH,PLUS,GWRE,ITCC,MSCI,QTWO,QADA,RP,SGPYY,SNX,TYL,WIT	Computer and Technology
Business - Services	SIXD,DRWN,ACTG,AWWC,APG,ARWD,CAR,AXMA,BDIMF,BBU,CTAGY,CIDM,CLCT,SCOR,CCUR,CORE,CRRSQ,CRVL,CRD.B,CRD.A,DFCO,DCCPF,DRSV,DSS,EVSP,EVRI,SFUN,CANN,GFN,HHR,HCSG,HMHC,IBEX,ISHM,INNI,ICRD,ITNM,ITEX,ASZP,LEAI,MSSI,MLMN,MITFY,NXRA,PFMT,PFSW,PRGX,MVPT,PCMC,RTOKY,RIHT,SOMLY,SGSOY,SDXAY,SGRP,SPSC,TPNI,UMCN,VEC,VVI,VOLT,WNS,WYGPY	Business Services
Business - Office Products	DLX,MLHR,HNI,KNL,SCS,UNIR	Business Services
Business - Information Services	KRKR,BKI,CMTX,DNB,ERGN,EXPGY,FDS,INFO,IKTSY,MORN,NRC,NLSN,RCRRF,SGLB,SPGI,TRAC,TRU,UCL,VRSK	Business Services
Building Products - Wood	AFI,BXC,BCC,CTT,FND,JELD,LPX,DOOR,OSB,PTBTQ,PCH,RYN,WOFA,TREX,UFPI,WY	Construction
Building Products - Retail	BECN,BMCH,BLDR,FAST,GMS,HBP,JCTCF,LOW,LL,TGLS,HD,TTSH,TVPKF	Retail and Wholesale
Building Products - Mobile Homes and RV Builders	CVCO,DVLY,NOBH,REXLQ,SKY,THO,WGO	Construction
Building Products - Miscellaneous	WMS,AEGN,ABLT,ACA,AGX,AWI,ASPN,BLWYY,CSTE,ROAD,CUO,CRH,DRTT,FBM,FTDR,GCP,ROCK,GROUF,GRAM,IBP,JHX,MAS,NSMG,NWHM,OBYCF,OSN,OTIS,OC,PATK,PGTI,NX,RAFI,SGBX,SHMUY,SSD,BLD,TBLT,URI,WXMN,WLMS	Construction
Building Products - Maintenance Service	ABM,LMB,ROL,TISI	Construction
Building Products - Lighting	AYI,EFOI,LSCG,LYTS,OESX,RVLT	Construction
Building Products - Home Builders	BZH,CCS,CCOHY,CHCI,CNRFF,DHI,GFASY,HOV,KBH,LEN,LEN.B,LOMA,MDC,MTH,MHO,NVR,PSMMY,PHM,SKHSY,VICP,TMHC,TWODY,TOL,TPH	Construction
Building Products - Heavy Construction	ATASY,BAFYY,BRANF,CCCGY,CWYCY,CRWOY,DY,EME,ICAYY,GV,GVA,GLDD,JEXYY,MTZ,MSMY,NOA,ORN,PRIM,STRL,TPC,VCISY,WMSI	Construction
Building Products - Concrete and Aggregates	AHCHY,BZZUF,CPAC,CX,CARCY,CNR,EXP,FRTA,GEVI,GGLT,HDELY,HCMLY,MLM,RETO,SMID,SUM,MCEM,USCR,USLM,VMC,YECO	Construction
Building Products - Air Conditioner and Heating	AAON,CCOM,FIX,LII,MCCK,TGEN,AZEK,WSO,WSO.B	Construction
Broadcast Radio and Television	SONG,AMCX,BBGI,CSSE,CJREF,UCTN,CMLS,DISCA,DISCB,DISCK,ETM,EVC,SSP,FOXA,FOX,GAIA,GTN,GTN.A,TV,IDWM,IHRT,ITVPY,LBTYK,CLKA,NFLX,NEUL,NXST,NTN,FENG,PRISY,UONE,UONEK,RAIO,ROKU,SGA,SALM,SBGI,SIRI,SBSAA,TGNA,TVBCY,TSQ,TPCO,WSG,TVTV	Consumer Discretionary
Biofuels	AMTX,BLSP,CCGY,EVA,FF,MEIL,PEIX,REGI,RNWF,REX,SCNG	Oils and Energy
Beverages - Soft drinks	WTER,HIPH,BRFH,BCCI,BGEM,BTVCY,KOF,CCLAY,COKE,KO,CCEP,CCHGY,JVA,DTEA,AKO.B,AKO.A,FMX,FTFT,MCHA,ICGL,JAMN,JSDA,KDP,LKNCY,MNST,MSLP,FIZZ,NUZE,PEP,REED,SWRI,YGYI	Consumer Staples
Beverages - Alcohol	ABEV,BUD,ASCC,BRBMF,BF.A,BF.B,DVDCF,CBEV,CABGY,BORNY,RSAU,CCU,STZ,STZ.B,CWGL,CHCX,DEO,EAST,GPMCF,HEINY,KNBWY,MENB,TAP,NWBD,WDKA,PDRDY,REMYY,SAM,THST,TSGTY,VCOYY,WVVI	Consumer Staples
Banks - West	ACBCQ,AMRB,AVBH,BOCH,BOH,BMRC,BCML,BEOB,CFNB,CATY,CVCY,CHOB,CTBK,CCB,COLB,CWBK,CWBC,CPF,CVBF,EWBC,FMBL,FFNW,FHB,FBAK,FINN,FNRN,FNWB,FRC,FSWA,FSBW,GBCI,HAFC,HTBK,HVYB,HOPE,MLGF,NRIM,NBCT,OVLY,PMBC,PSBC,PWBO,PACW,PBCO,ALTA,PLBC,PFBC,RBB,SCZC,BSRR,SFBC,SSBI,SIVB,TMCV,TWNE,TCBK,UMPQ,UBFO,WABC,WAL,WSFGQ,ZION	Finance
Banks - Southwest	FISB,ACNB,AMBZ,BANC,BANF,BCTF,BSCA,BOKF,CALB,CABB,CAIB,CCBC,CFR,FCBP,FFIN,FFWM,FHLB,GNTY,HABK,IBOC,LBC,MVLY,OPBK,PFBN,PCBC,PVBK,PCB,PBNK,PBAM,PB,RRBI,SCBH,SI,SBSI,TCBI	Finance
Banks - Southeast	ABTX,AMNB,ABCB,AUBN,BXS,BKSC,BOTJ,BSVN,BAYK,BAYN,BMBN,CADE,CCBG,CAPB,CSTR,CBTX,CFFI,CHMG,CPKF,CZBS,CIZN,CHCO,CBAN,CFBI,CBBI,CTBI,ALBY,CUBI,EFSI,FBSS,FABK,FBP,FBNC,FCNCA,FCBC,FCCO,FGBI,FHN,FXNC,FNBCQ,FSRL,FSTF,FUSB,FNB,FVCB,HABC,HWC,HTH,HBCP,HOMB,HTBI,IBTX,ISTR,JFWV,KTYB,LOB,MCBK,AMTB,MCBS,MFBP,MBVA,NBHC,NKSH,NXTYQ,NODB,BKOR,OPOF,OFSI,OPHC,OBNK,PKWY,PEBK,PFBX,PCBN,PCLB,PPBN,PNFP,BPOP,PFBI,PMHG,PFHD,RF,RBNC,RNST,RBCAA,SBCF,SFDL,SFNC,SABK,SPFI,SSB,SFST,SONA,STXB,SYBT,SMMF,SRYB,SNV,FBMS,THVB,TOWN,TYBT,TBK,TRMK,TRUX,UBSI,VBTX,VBFC,WSBC	Finance
Banks - Northeast	BCOW,FCOB,FCCY,AMAL,AMBK,ASRV,AROW,ACBI,AUB,BSPA,BFC,TSBA,OZK,BWFG,BHB,BCBP,BERK,BSBK,BPFH,BDGE,BWB,BRBW,BMTC,BFST,BY,CATC,CAC,CBNK,CARE,CBFV,CBMB,CFBK,CNBKA,CIBH,CNNB,CZFS,CZNC,CCNE,CVLY,CNAF,CBU,CMTV,CMHF,CNOB,ICBK,CFB,DBIN,PTRS,DIMC,EGBN,EFBI,EBC,EMCF,EBTC,EQBK,ESQ,EVBN,FMBM,FMAO,FBK,FFBW,FDBC,FISI,FNLC,FRBA,FCF,PFC,INBK,FKYS,FMBH,FRSB,FSEA,FUNC,FNCB,FRAF,FDVA,FULT,GLBZ,GWB,HONE,HARL,HWBK,HBT,HSBK,HIFS,HBNC,HBMD,HVBC,IROQ,INDB,IEBS,JFBC,LBAI,LCNB,LEVL,LMST,LYBC,MGYR,MNSB,MLVF,MRBK,MCB,MPB,MBCN,MSBI,MSVB,NBTB,NCBS,NECB,NSBK,NWIN,NWFL,OFG,ORRF,OTTW,OXBC,PKBK,PNBK,PCSB,PDLB,PGC,PWOD,PFIS,PBFS,PNBI,PVBC,PSBQ,QNBC,QNTO,RNDB,FRBK,REVB,RBKB,RMBI,SAL,SASR,SBFG,SBTB,SVBI,SHBI,SHRC,SBNY,SMBK,SOMC,STBA,STL,SBT,SUGR,TCF,TBNK,TBBK,BPRN,TCFC,FLIC,TDCB,TMP,TWCF,TSC,TRST,UNB,UCBI,UNTY,UNIB,UVSP,USBK,VLY,VSBN,WASH,WAFD,WCFB,WBS,WSSH,WBBW	Finance
Banks - Midwest	SRCE,ATLO,ASB,BVBC,BNCC,CTDN,CNBA,CZNB,CIVB,CBSH,CEFC,CSHB,CLDB,CSBB,EBMT,EFSC,EQFN,FMNB,FETM,BUSE,FBIZ,FFBC,THFF,FIBK,FRME,FMBI,MYFW,GABC,HLAN,HTLF,HBAN,IBCP,IOFB,LKFN,MCBC,MFNC,MBWM,MOFG,OLCB,OVBC,ONB,OSBC,PRK,PEBO,PNBC,QCRH,SLRK,SGBP,TSOH,UMBF,UBCP,UBOH,WTFC	Finance
Banks - Major Regional	BAC,BKU,CMA,FITB,JPM,KEY,MTB,NTRS,STT,BK,PNC,TFC,USB,WFC	Finance
Banks - Foreign	ACGBY,AKBTY,ANZBY,BBVA,BBD,BBDO,BPCGY,BCH,BDORY,BLX,BSAC,SAN,BSBR,CIB,BKHYY,BACHY,BCMXY,BMO,BNS,NTB,BKNIY,BCS,BBAR,BCBHF,BDGSF,BNPQY,BHKLY,CM,HSBI,CHBAY,CHCJY,GLG,CICHY,CIHKY,CMAKY,CRZBY,CMWAY,BAP,CRARY,CS,CBBYF,DNKEY,DBSDY,DB,DNHBY,EBKDY,BSMX,GGAL,GPFOY,SUPV,HSNGY,HDB,HSBC,IBN,IDCBY,ING,ISNPY,ITCB,ITUB,KB,KBCSY,LYG,BMA,MBNKF,SRL,MUFG,MFG,NABZY,NTIOF,NRDBY,OSVBF,OVCHY,PPERY,RAIFY,RY,NWG,RBSPF,SBRCY,SHG,SVKEF,SCGLY,SCBFF,SMFG,SWDBY,BKEAY,TD,UBS,UNCFF,UOVEY,WNEB,WBK,WF	Finance
Automotive - Retail and Wholesale - Parts	AAP,AZO,KMX,MWWC,ORLY	Retail and Wholesale
Automotive - Retail and Whole Sales	ACCA,CRMT,ABG,AN,CALI,WKSP,GPI,LAD,PAG,RUSHA,RUSHB,SAH,TITN	Retail and Wholesale
Automotive - Replacement Parts	CARG,DORM,PLOW,GPC,KXIN,LKQ,MPAA,PFTI,SPXC,SMP,UFMG	Auto, Tires and Trucks
Automotive - Original Equipment	VLVLY,ADNT,ASEKY,ALSN,AXL,FUV,ALV,BEEM,BWA,BCAUY,DOOO,CAAS,CYD,ZXAIY,CVGI,CTTAY,CPS,DAN,DNZOY,EH,ENVS,FSCR,RACE,GTXMQ,QYBX,GNTX,THRM,VLDR,GKIT,HLFDY,HZN,HYLN,IOCJY,LCII,LEA,MGA,MTOR,MXVDD,MLR,MOD,NAV,NIU,OSK,PLNTQ,SCFLF,SNSGF,SVTE,SHYF,STRT,SUP,TEN,TXIC,UFAB,PRTS,VLEEY,VNE,VC,VYDR,WNC,WPRT,WKHS,XPEL	Auto, Tires and Trucks
Automotive - Internal Combustion Engines	CMI,PSIX,RGUS,WEICY	Auto, Tires and Trucks
Automotive - Foreign	ATDRY,BAMXF,CNHI,DDAIF,DNFGY,SOLO,FCAU,FUJHY,GELYY,GP,HINOY,HMC,HYMLF,ISUZY,LASLY,LI,MZDAY,NIO,NSANY,PDGNF,PUGOY,RNLSY,SZKMY,TTM,TM,VWAGY,XPEV,YAMHF	Auto, Tires and Trucks
